# 発注先_フォーマット名	項目	数量	単位	単価	原価
山一地所_フローリング工事(4.5畳2階)	畳運搬費	5	枚	500	1200
山一地所_フローリング工事(4.5畳2階)	根太材	9	本	1200	1000
山一地所_フローリング工事(4.5畳2階)	構造用合板	5	枚	3200	2500
山一地所_フローリング工事(4.5畳2階)	スタイロフォーム	4	枚	800	750
山一地所_フローリング工事(4.5畳2階)	巾木材	1	ケース	3000	1295
山一地所_フローリング工事(4.5畳2階)	フロア材(半坪)	5	ケース	5000	4000
山一地所_フローリング工事(4.5畳2階)	施工手間	1.5	人工	28000	20000
山一地所_フローリング工事(4.5畳2階)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(4.5畳2階)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(4.5畳2階)	資材機材運搬費	1	式	8000	0
山一地所_フローリング工事(4.5畳2階)	遮音シート	1.5	本	3500	3000
山一地所_フローリング工事(6畳)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳)	根太材	12	本	1200	1000
山一地所_フローリング工事(6畳)	構造用合板	6	枚	3200	2500
山一地所_フローリング工事(6畳)	スタイロフォーム	5	枚	800	750
山一地所_フローリング工事(6畳)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳)	フロア材	6	ケース	5000	4000
山一地所_フローリング工事(6畳)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(6畳)	副資材費(ビス・接着剤等)	1	式	4000	0
山一地所_フローリング工事(6畳)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(6畳)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(6畳2階)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳2階)	根太材	12	本	1200	1000
山一地所_フローリング工事(6畳2階)	構造用合板	6	枚	3200	2500
山一地所_フローリング工事(6畳2階)	スタイロフォーム	5	枚	800	750
山一地所_フローリング工事(6畳2階)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳2階)	フロア材(半坪)	6	ケース	5000	4000
山一地所_フローリング工事(6畳2階)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(6畳2階)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(6畳2階)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(6畳2階)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(6畳2階)	遮音シート	2	本	3500	3000
山一地所_フローリング工事(6畳+板間)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳+板間)	根太材	14	本	1200	1000
山一地所_フローリング工事(6畳+板間)	構造用合板	7	枚	3200	2500
山一地所_フローリング工事(6畳+板間)	スタイロフォーム	6	枚	800	750
山一地所_フローリング工事(6畳+板間)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳+板間)	フロア材	7	ケース	5000	4000
山一地所_フローリング工事(6畳+板間)	施工手間	2	人工	30000	20000
山一地所_フローリング工事(6畳+板間)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(6畳+板間)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(6畳+板間)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(6畳2階+板間)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳2階+板間)	根太材	14	本	1200	1000
山一地所_フローリング工事(6畳2階+板間)	構造用合板	7	枚	3200	2500
山一地所_フローリング工事(6畳2階+板間)	スタイロフォーム	6	枚	800	750
山一地所_フローリング工事(6畳2階+板間)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳2階+板間)	フロア材(半坪)	7	ケース	5000	4000
山一地所_フローリング工事(6畳2階+板間)	施工手間	2	人工	30000	20000
山一地所_フローリング工事(6畳2階+板間)	廃材処分費	1	式	5000	0
山一地所_フローリング工事(6畳2階+板間)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(6畳2階+板間)	廃材運搬費	1	式	10000	0
山一地所_フローリング工事(6畳2階+板間)	遮音シート	2	本	3500	3000
山一地所_フローリング工事(8畳)	畳運搬費	8	枚	500	1200
山一地所_フローリング工事(8畳)	根太材	18	本	1200	1000
山一地所_フローリング工事(8畳)	構造用合板	8	枚	3200	2500
山一地所_フローリング工事(8畳)	スタイロフォーム	7	枚	800	750
山一地所_フローリング工事(8畳)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(8畳)	フロア材(半坪)	8	ケース	5000	4000
山一地所_フローリング工事(8畳)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(8畳)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(8畳)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(8畳)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(8畳2階)	畳運搬費	8	枚	500	1200
山一地所_フローリング工事(8畳2階)	根太材	18	本	1200	1000
山一地所_フローリング工事(8畳2階)	構造用合板	8	枚	2800	2500
山一地所_フローリング工事(8畳2階)	スタイロフォーム	7	枚	800	750
山一地所_フローリング工事(8畳2階)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(8畳2階)	フロア材(半坪)	8	ケース	5000	4000
山一地所_フローリング工事(8畳2階)	施工手間	2	人工	30000	20000
山一地所_フローリング工事(8畳2階)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(8畳2階)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(8畳2階)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(8畳+板間)	畳運搬費	8	枚	500	1200
山一地所_フローリング工事(8畳+板間)	根太材	20	本	1200	1000
山一地所_フローリング工事(8畳+板間)	構造用合板	9	枚	3200	2500
山一地所_フローリング工事(8畳+板間)	スタイロフォーム	8	枚	800	750
山一地所_フローリング工事(8畳+板間)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(8畳+板間)	フロア材(半坪)	9	ケース	5000	4000
山一地所_フローリング工事(8畳+板間)	施工手間	2	人工	30000	20000
山一地所_フローリング工事(8畳+板間)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(8畳+板間)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(8畳+板間)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(8畳2階+板間)	畳運搬費	8	枚	500	1200
山一地所_フローリング工事(8畳2階+板間)	根太材	20	本	1200	1000
山一地所_フローリング工事(8畳2階+板間)	構造用合板	9	枚	3200	2500
山一地所_フローリング工事(8畳2階+板間)	スタイロフォーム	8	枚	800	750
山一地所_フローリング工事(8畳2階+板間)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(8畳2階+板間)	フロア材(半坪)	9	ケース	5000	4000
山一地所_フローリング工事(8畳2階+板間)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(8畳2階+板間)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(8畳2階+板間)	副資材費(ビス・接着剤等)	1	式	4000	0
山一地所_フローリング工事(8畳2階+板間)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(8畳2階+板間)	遮音シート	2	本	3500	3000
山一地所_フローリング工事(10畳階)	畳運搬費	10	枚	500	1200
山一地所_フローリング工事(10畳階)	根太材	18	本	1200	1000
山一地所_フローリング工事(10畳階)	構造用合板	10	枚	2800	2500
山一地所_フローリング工事(10畳階)	スタイロフォーム	8	枚	800	750
山一地所_フローリング工事(10畳階)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(10畳階)	フロア材(半坪)	10	ケース	5000	4000
山一地所_フローリング工事(10畳階)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(10畳階)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(10畳階)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(10畳階)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(10畳階)	遮音シート	3	本	3500	3000
山一地所_フローリング工事(マンション置床6畳)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(マンション置床6畳)	スタイロフォーム処分	6	本	1200	1000
山一地所_フローリング工事(マンション置床6畳)	高さ調整モルタル・不陸調整砂撤去・清掃	1	式	10000	5000
山一地所_フローリング工事(マンション置床6畳)	下地脚	48	個	600	350
山一地所_フローリング工事(マンション置床6畳)	パーティクルボード	10	枚	3000	2500
山一地所_フローリング工事(マンション置床6畳)	5.5mmラワン合板	6	枚	2000	1800
山一地所_フローリング工事(マンション置床6畳)	雑材(ビス・ボンド等)	1	式	5000	3000
山一地所_フローリング工事(マンション置床6畳)	フロア材(半坪)	6	ケース	5000	4500
山一地所_フローリング工事(マンション置床6畳)	施工手間	2	人工	28000	22000
山一地所_フローリング工事(マンション置床6畳)	廃材運搬費	1	式	4000	2000
山一地所_フローリング工事(マンション置床6畳)	資材機材運搬費	1	式	10000	0
山一地所_フローリング(CF施工)置床6畳	畳運搬費	6	枚	500	1200
山一地所_フローリング(CF施工)置床6畳	スタイロフォーム処分	6	本	1200	1000
山一地所_フローリング(CF施工)置床6畳	高さ調整モルタル・不陸調整砂撤去・清掃	1	式	10000	5000
山一地所_フローリング(CF施工)置床6畳	下地脚	48	個	600	350
山一地所_フローリング(CF施工)置床6畳	パーティクルボード	10	枚	3000	2500
山一地所_フローリング(CF施工)置床6畳	5.5mmラワン合板	6	枚	2000	1800
山一地所_フローリング(CF施工)置床6畳	雑材(ビス・ボンド等)	1	式	5000	3000
山一地所_フローリング(CF施工)置床6畳	上記施工手間	2	人工	28000	22000
山一地所_フローリング(CF施工)置床6畳	CF施工	10	㎡	2400	2100
山一地所_フローリング(CF施工)置床6畳	廃材運搬費	1	式	4000	2000
山一地所_フローリング(CF施工)置床6畳	資材機材運搬費	1	式	10000	0
山一地所_和室→フロアタイル工事(6畳)	畳運搬費	6	枚	500	1200
山一地所_和室→フロアタイル工事(6畳)	根太材	12	本	1200	1000
山一地所_和室→フロアタイル工事(6畳)	構造用合板	6	枚	3200	2500
山一地所_和室→フロアタイル工事(6畳)	スタイロフォーム	5	枚	800	750
山一地所_和室→フロアタイル工事(6畳)	施工手間	1.5	人工	28000	20000
山一地所_和室→フロアタイル工事(6畳)	フロアタイル施工	10	㎡	4500	4000
山一地所_和室→フロアタイル工事(6畳)	ソフト巾木施工	8	m	600	500
山一地所_和室→フロアタイル工事(6畳)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_和室→フロアタイル工事(6畳)	廃材運搬費	1	式	4000	0
山一地所_和室→フロアタイル工事(6畳)	資材機材運搬費	1	式	5000	0
山一地所_防音フローリング張替(1K)	既存フローリング解体	16	㎡	3000	0
山一地所_防音フローリング張替(1K)	下地調整	16	㎡	4500	0
山一地所_防音フローリング張替(1K)	新規フロア材	6	ケース	15000	0
山一地所_防音フローリング張替(1K)	フロア材用ボンド	1	缶	8500	0
山一地所_防音フローリング張替(1K)	フロア施工手間	16	㎡	4000	0
山一地所_防音フローリング張替(1K)	木巾木張替	26	㎡	1000	0
山一地所_防音フローリング張替(1K)	産廃材解体・運搬費	1	式	12000	0
山一地所_防音フローリング張替(1K)	資材搬入経路養生清掃費	1	式	15000	0
山一地所_防音フローリング張替(1K)	資材機材運搬費	1	式	5000	0
山一地所_防音フローリング張替(1K)	現場管理諸経費	1	式	20000	0
みどり不動産_フローリング工事(6畳)	畳処分	6	枚	1600	1200
みどり不動産_フローリング工事(6畳)	根太材	12	本	1400	1000
みどり不動産_フローリング工事(6畳)	構造用合板	6	枚	3300	2500
みどり不動産_フローリング工事(6畳)	スタイロフォーム	5	枚	1000	750
みどり不動産_フローリング工事(6畳)	巾木材	1	ケース	3000	1295
みどり不動産_フローリング工事(6畳)	フロア材	6	ケース	5000	4000
みどり不動産_フローリング工事(6畳)	施工手間	2	人工	30000	20000
みどり不動産_フローリング工事(6畳)	廃材処分費	1	式	6000	0
みどり不動産_フローリング工事(6畳)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング工事(6畳2階)	畳処分	6	枚	1600	1200
みどり不動産_フローリング工事(6畳2階)	根太材	9	本	1400	1000
みどり不動産_フローリング工事(6畳2階)	構造用合板	6	枚	3300	2500
みどり不動産_フローリング工事(6畳2階)	スタイロフォーム	5	枚	1000	750
みどり不動産_フローリング工事(6畳2階)	巾木材	2	ケース	3000	1295
みどり不動産_フローリング工事(6畳2階)	フロア材(半坪)	6	ケース	5000	4000
みどり不動産_フローリング工事(6畳2階)	施工手間	2	人工	30000	20000
みどり不動産_フローリング工事(6畳2階)	廃材処分費	1	式	6000	0
みどり不動産_フローリング工事(6畳2階)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング工事(6畳2階)	遮音シート	2	本	3500	3000
みどり不動産_フローリング工事(8畳)	畳処分	8	枚	1600	1200
みどり不動産_フローリング工事(8畳)	根太材	18	本	1400	1000
みどり不動産_フローリング工事(8畳)	構造用合板	8	枚	3300	2500
みどり不動産_フローリング工事(8畳)	スタイロフォーム	7	枚	1000	750
みどり不動産_フローリング工事(8畳)	巾木材	2	ケース	3000	1295
みどり不動産_フローリング工事(8畳)	フロア材(半坪)	8	ケース	5000	4000
みどり不動産_フローリング工事(8畳)	施工手間	2	人工	30000	20000
みどり不動産_フローリング工事(8畳)	廃材処分費	1	式	6000	0
みどり不動産_フローリング工事(8畳)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング工事(8畳2階)	畳処分	8	枚	1600	1200
みどり不動産_フローリング工事(8畳2階)	根太材	18	本	1400	1000
みどり不動産_フローリング工事(8畳2階)	構造用合板	8	枚	3300	2500
みどり不動産_フローリング工事(8畳2階)	スタイロフォーム	7	枚	1000	750
みどり不動産_フローリング工事(8畳2階)	巾木材	2	ケース	3000	1295
みどり不動産_フローリング工事(8畳2階)	フロア材(半坪)	8	ケース	5000	4000
みどり不動産_フローリング工事(8畳2階)	施工手間	2	人工	30000	20000
みどり不動産_フローリング工事(8畳2階)	廃材処分費	1	式	6000	0
みどり不動産_フローリング工事(8畳2階)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング工事(8畳2階)	遮音シート	2	本	3500	3000
みどり不動産_フローリング工事(10畳階)	畳処分	10	枚	1600	1200
みどり不動産_フローリング工事(10畳階)	根太材	18	本	1400	1000
みどり不動産_フローリング工事(10畳階)	構造用合板	10	枚	3300	2500
みどり不動産_フローリング工事(10畳階)	スタイロフォーム	8	枚	1000	750
みどり不動産_フローリング工事(10畳階)	巾木材	2	ケース	3000	1295
みどり不動産_フローリング工事(10畳階)	フロア材(半坪)	10	ケース	5000	4000
みどり不動産_フローリング工事(10畳階)	施工手間	2	人工	30000	20000
みどり不動産_フローリング工事(10畳階)	廃材処分費	1	式	6000	0
みどり不動産_フローリング工事(10畳階)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング工事(10畳階)	遮音シート	3	本	3500	3000
みどり不動産_フローリング工事(マンション置床6畳)	畳処分	6	枚	1500	1200
みどり不動産_フローリング工事(マンション置床6畳)	スタイロフォーム処分	6	本	1200	1000
みどり不動産_フローリング工事(マンション置床6畳)	高さ調整モルタル・不陸調整砂撤去・清掃	1	式	10000	5000
みどり不動産_フローリング工事(マンション置床6畳)	下地脚	48	個	600	350
みどり不動産_フローリング工事(マンション置床6畳)	パーティクルボード	10	枚	3000	2500
みどり不動産_フローリング工事(マンション置床6畳)	5.5mmラワン合板	6	枚	2000	1800
みどり不動産_フローリング工事(マンション置床6畳)	雑材(ビス・ボンド等)	1	式	5000	3000
みどり不動産_フローリング工事(マンション置床6畳)	フロア材(半坪)	6	ケース	5000	4500
みどり不動産_フローリング工事(マンション置床6畳)	施工手間	2	人工	25000	22000
みどり不動産_フローリング工事(マンション置床6畳)	廃材処分費	1	式	5000	2000
みどり不動産_フローリング工事(マンション置床6畳)	資材機材運搬費	1	式	10000	0
みどり不動産_フローリング(CF施工)置床6畳	畳処分	6	枚	1500	1200
みどり不動産_フローリング(CF施工)置床6畳	スタイロフォーム処分	6	本	1200	1000
みどり不動産_フローリング(CF施工)置床6畳	高さ調整モルタル・不陸調整砂撤去・清掃	1	式	10000	5000
みどり不動産_フローリング(CF施工)置床6畳	下地脚	48	個	600	350
みどり不動産_フローリング(CF施工)置床6畳	パーティクルボード	10	枚	3000	2500
みどり不動産_フローリング(CF施工)置床6畳	5.5mmラワン合板	6	枚	2000	1800
みどり不動産_フローリング(CF施工)置床6畳	雑材(ビス・ボンド等)	1	式	5000	3000
みどり不動産_フローリング(CF施工)置床6畳	上記施工手間	2	人工	25000	22000
みどり不動産_フローリング(CF施工)置床6畳	CF施工	10	㎡	2400	2100
みどり不動産_フローリング(CF施工)置床6畳	廃材処分費	1	式	5000	2000
みどり不動産_フローリング(CF施工)置床6畳	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(6畳)	畳処分	6	枚	1500	1200
ワールドアイシティ_フローリング工事(6畳)	根太材	12	本	1200	1000
ワールドアイシティ_フローリング工事(6畳)	構造用合板	6	枚	2800	2500
ワールドアイシティ_フローリング工事(6畳)	スタイロフォーム	5	枚	800	750
ワールドアイシティ_フローリング工事(6畳)	巾木材	1	ケース	3000	1295
ワールドアイシティ_フローリング工事(6畳)	フロア材	6	ケース	5000	4000
ワールドアイシティ_フローリング工事(6畳)	施工手間	2	人工	25000	20000
ワールドアイシティ_フローリング工事(6畳)	廃材処分費	1	式	5000	0
ワールドアイシティ_フローリング工事(6畳)	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(6畳2階)	畳処分	6	枚	1500	1200
ワールドアイシティ_フローリング工事(6畳2階)	根太材	9	本	1200	1000
ワールドアイシティ_フローリング工事(6畳2階)	構造用合板	6	枚	2800	2500
ワールドアイシティ_フローリング工事(6畳2階)	スタイロフォーム	5	枚	800	750
ワールドアイシティ_フローリング工事(6畳2階)	巾木材	2	ケース	3000	1295
ワールドアイシティ_フローリング工事(6畳2階)	フロア材(半坪)	6	ケース	5000	4000
ワールドアイシティ_フローリング工事(6畳2階)	施工手間	2	人工	25000	20000
ワールドアイシティ_フローリング工事(6畳2階)	廃材処分費	1	式	5000	0
ワールドアイシティ_フローリング工事(6畳2階)	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(6畳2階)	遮音シート	2	本	3500	3000
ワールドアイシティ_フローリング工事(8畳)	畳処分	8	枚	1500	1200
ワールドアイシティ_フローリング工事(8畳)	根太材	18	本	1200	1000
ワールドアイシティ_フローリング工事(8畳)	構造用合板	8	枚	2800	2500
ワールドアイシティ_フローリング工事(8畳)	スタイロフォーム	7	枚	800	750
ワールドアイシティ_フローリング工事(8畳)	巾木材	2	ケース	3000	1295
ワールドアイシティ_フローリング工事(8畳)	フロア材(半坪)	8	ケース	5000	4000
ワールドアイシティ_フローリング工事(8畳)	施工手間	2	人工	25000	20000
ワールドアイシティ_フローリング工事(8畳)	廃材処分費	1	式	5000	0
ワールドアイシティ_フローリング工事(8畳)	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(8畳階)	畳処分	8	枚	1500	1200
ワールドアイシティ_フローリング工事(8畳階)	根太材	18	本	1200	1000
ワールドアイシティ_フローリング工事(8畳階)	構造用合板	8	枚	2800	2500
ワールドアイシティ_フローリング工事(8畳階)	スタイロフォーム	7	枚	800	750
ワールドアイシティ_フローリング工事(8畳階)	巾木材	2	ケース	3000	1295
ワールドアイシティ_フローリング工事(8畳階)	フロア材(半坪)	8	ケース	5000	4000
ワールドアイシティ_フローリング工事(8畳階)	施工手間	2	人工	25000	20000
ワールドアイシティ_フローリング工事(8畳階)	廃材処分費	1	式	5000	0
ワールドアイシティ_フローリング工事(8畳階)	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(8畳階)	遮音シート	2	本	3500	3000
ワールドアイシティ_フローリング工事(10畳階)	畳処分	10	枚	1500	1200
ワールドアイシティ_フローリング工事(10畳階)	根太材	18	本	1200	1000
ワールドアイシティ_フローリング工事(10畳階)	構造用合板	10	枚	2800	2500
ワールドアイシティ_フローリング工事(10畳階)	スタイロフォーム	8	枚	800	750
ワールドアイシティ_フローリング工事(10畳階)	巾木材	2	ケース	3000	1295
ワールドアイシティ_フローリング工事(10畳階)	フロア材(半坪)	10	ケース	5000	4000
ワールドアイシティ_フローリング工事(10畳階)	施工手間	2	人工	25000	20000
ワールドアイシティ_フローリング工事(10畳階)	廃材処分費	1	式	5000	0
ワールドアイシティ_フローリング工事(10畳階)	資材機材運搬費	1	式	10000	0
ワールドアイシティ_フローリング工事(10畳階)	遮音シート	3	本	3500	3000
